"","name","energy_mean","energy_sd","cpu_util_mean","cpu_util_sd","memory_usage_mean","memory_usage_sd","time_mean","time_sd"
"1","adidasnmd","67.628106","25.7719182134057","28.29","2.23529764361607","2538529.08214217","53817.5318277787","12507.9","16639.191796946"
"2","adriaticbasket","57.38679","2.23473870450574","28","1.56347191994114","2565593.26157494","70928.2668879195","3988.1","477.652930716668"
"3","alliedtelesis","40.6573524","1.97305024591306","15.2","0.788810637746616","2519559.19542886","76356.2664085204","3848.8","301.935165961907"
"4","ammar","61.6103928","5.98094411604375","29.3","2.00277585143997","2577694.19369592","80350.3151088266","5541.2","978.016450668279"
"5","andreaswaelti","33.7826844","6.5331908729087","16.2818181818182","3.40917845005448","2552258.34685614","109161.704947974","2325.4","1689.21626797755"
"6","astropix","30.6866556","1.36803904285865","15.5","0.52704627669473","2487974.59477591","93450.9955618702","1532.5","122.09217829165"
"7","bdfor","35.896248","2.03578656950477","15.1","0.737864787372622","2517123.92273901","94811.0444614667","2492.2","183.127642187992"
"8","cbdvapejuice","56.5650288","2.4619804755957","27.9","2.99814757623585","2531791.82387014","53072.9480862359","3491.8","153.395494646283"
"9","coloradoboulevard","41.3033148","2.2952318091588","15","1.15470053837925","2530963.64247532","120518.613534033","3416.7","307.159404869849"
"10","compresse","50.8112316","1.22925608580214","29.3","1.15950180872841","2538950.79375795","57809.1121243878","2591.7","189.355661828916"
"11","cottagelife","64.8929556","1.40281066070714","28.1","2.28278582243519","2570393.69885052","68018.5519703864","4631.3","341.318700858238"
"12","denverite","34.5062484","2.22315453528935","15.6","0.966091783079296","2540291.13926647","111735.26564007","2256.5","625.040665343731"
"13","drivenxdesign","43.0819452","3.90602120724381","16.4646014492754","1.96512220793784","2564580.17006851","108963.538779369","4886.5","434.822121996774"
"14","fusion","68.1568272","4.25915996070662","29.1","1.96920739836559","2613779.93287603","63430.8975893628","5612.9","4712.25790300621"
"15","gildedserpent","53.6366844","3.10251327656556","29","1.76383420737639","2561188.70539175","75458.2342674335","3053.3","184.866949152327"
"16","greasyfork","46.8560592","1.84410550990294","28.6","1.26491106406735","2531781.19130919","72739.6593203311","2291","277.738886166286"
"17","greentechmedia","66.7228068","2.44448031992046","29.1","1.44913767461894","2559672.30462854","69709.4438546989","4402.1","230.538716921909"
"18","hagley","66.1656852","3.23842531449814","27.2","2.39443799947573","2579834.82089618","63340.716416516","4193.6","278.615705069027"
"19","hcss","61.2786204","2.02622721017797","27.9","1.3703203194063","2541479.54952256","59568.3581662892","4044.9","144.055891930875"
"20","heinlein","28.9218852","0.773310786547296","15.3","0.948683298050514","2514471.41964912","104842.16679787","1519.4","147.793549701377"
"21","holifestival","51.1736724","4.80945326262535","29","0.942809041582063","2542065.89234758","55141.0413919986","2744.7","823.376388887717"
